Split,Strategy,Fold,F2,AvgPrecision,ROC-AUC,P@100,Precision,Recall,AP_shared_comp,AP_unique_comp
random,B-SMOTE,3,0.5368589743589743,0.44542909345114623,0.9019091176943268,0.4,0.24632352941176472,0.7613636363636364,0.21123111319875093,0.5081748098020612
random,B-SMOTE,4,0.46021840873634945,0.3964941597322013,0.8477627631649434,0.4,0.2041522491349481,0.6704545454545454,0.31009891589863253,0.42853594667615
random,B-SMOTE,5,0.4702194357366771,0.3779213743734827,0.8664648229803777,0.39,0.20689655172413793,0.6896551724137931,0.3182819645424385,0.4114186582226056
random,B-SMOTE,6,0.4787234042553192,0.3874453448792586,0.8914747573209862,0.41,0.2032258064516129,0.7241379310344828,0.3447054034066732,0.4150584584529875
random,B-SMOTE,7,0.5110062893081762,0.46223102551479706,0.8864688680394786,0.47,0.22569444444444445,0.7471264367816092,0.1872530134482269,0.5129916355144656
random,B-SMOTE,8,0.44891640866873067,0.3619973027396298,0.8482281566400599,0.38,0.19727891156462585,0.6590909090909091,0.28204472963101335,0.38665292394348155
random,B-SMOTE,9,0.4452054794520548,0.37054260120086485,0.8695592489419832,0.39,0.22413793103448276,0.5909090909090909,0.2878587423646385,0.4028492825401876
random,B-SMOTE,10,0.45384615384615384,0.389096374042219,0.8459384038092915,0.31,0.19536423841059603,0.6781609195402298,0.2942519548276121,0.435040163589866
random,B-SMOTE,11,0.3987730061349693,0.24536910168157325,0.8044013917658368,0.29,0.17105263157894737,0.5977011494252874,0.16651827565457555,0.27899442270835045
random,B-SMOTE,12,0.46798029556650245,0.3602614622153034,0.8690887183028038,0.38,0.21839080459770116,0.6551724137931034,0.3723529234651793,0.37228468074321713
random,B-SMOTE,13,0.4493464052287582,0.38123592244056204,0.85246357207907,0.39,0.21153846153846154,0.625,0.2017931424546994,0.46541494171050213
random,B-SMOTE,14,0.5084745762711864,0.5102434013487883,0.899173675470081,0.5,0.2222222222222222,0.75,0.5337042205233957,0.5114714407805874
random,B-SMOTE,15,0.4715447154471545,0.3710163447093592,0.8705254031793768,0.37,0.21722846441947566,0.6666666666666666,0.23634187908699683,0.42233629739418455
random,SMOTE,1,0.4573643410852713,0.34891794343015314,0.8582747789827112,0.35,0.19865319865319866,0.6781609195402298,0.396299925748424,0.35240118057721165
random,SMOTE,2,0.3769230769230769,0.31337936250411275,0.8428983388164575,0.29,0.16225165562913907,0.5632183908045977,0.2581038385557871,0.3373503373555412
random,SMOTE,3,0.5057803468208093,0.4437490300240724,0.8990698826806665,0.41,0.20588235294117646,0.7954545454545454,0.18463727429133886,0.5160018720553705
random,SMOTE,4,0.47584187408491946,0.3884164700519733,0.8555271334440455,0.39,0.19637462235649547,0.7386363636363636,0.2833410712855476,0.4277043501222343
random,SMOTE,5,0.45112781954887216,0.35305442484611316,0.8662717845555713,0.41,0.1892744479495268,0.6896551724137931,0.29093395230950553,0.38548680664254886
random,SMOTE,6,0.46511627906976744,0.3702290970938193,0.8798721958219948,0.39,0.20202020202020202,0.6896551724137931,0.3271985886039115,0.4009475134139727
random,SMOTE,7,0.4845814977973568,0.43899529170882184,0.8910245995965504,0.46,0.1981981981981982,0.7586206896551724,0.2001408246192477,0.494589467107398
random,SMOTE,8,0.4442771084337349,0.35755703004560974,0.8541443456366851,0.39,0.1891025641025641,0.6704545454545454,0.28195569547661803,0.37986348115264384
random,SMOTE,9,0.420899854862119,0.3472892392292704,0.8578474045106338,0.37,0.17210682492581603,0.6590909090909091,0.28475692816609816,0.38191417718545856
random,SMOTE,10,0.4698972099853157,0.36350736407697615,0.8504494069995054,0.33,0.1921921921921922,0.735632183908046,0.24760951547272814,0.4088263995328119
random,SMOTE,11,0.4351145038167939,0.2636688326678073,0.8069398751743093,0.3,0.18566775244299674,0.6551724137931034,0.161506596939995,0.2940890237292679
random,SMOTE,12,0.45590433482810166,0.34023486537217634,0.864312984850331,0.37,0.19003115264797507,0.7011494252873564,0.35537622502667565,0.35280988137138874
random,SMOTE,13,0.45241809672386896,0.3908863978716085,0.8616542561739968,0.38,0.20069204152249134,0.6590909090909091,0.18880349511181754,0.4842676214899472
random,SMOTE,14,0.4992764109985528,0.5091489724793108,0.8992372904055285,0.47,0.20353982300884957,0.7840909090909091,0.5981458370370878,0.5016803447886559
random,SMOTE,15,0.4608294930875576,0.3605677819199055,0.8678364117882131,0.34,0.19801980198019803,0.6896551724137931,0.24196099342745192,0.4045110597465534
random,ADASYN,1,0.4512893982808023,0.36765553531127415,0.8641471372676441,0.37,0.18,0.7241379310344828,0.40661294052885216,0.3750704172204654
random,ADASYN,2,0.4219409282700422,0.31028217476435777,0.8478128426952602,0.27,0.1652892561983471,0.6896551724137931,0.25716620652879335,0.3340030536034839
random,ADASYN,3,0.4869684499314129,0.4002664585816382,0.8937262281030696,0.41,0.1883289124668435,0.8068181818181818,0.1646036988918359,0.4659163941182159
random,ADASYN,4,0.4628330995792426,0.37327307018389405,0.8570538918947876,0.39,0.18282548476454294,0.75,0.2501807053722485,0.4116587281420085
random,ADASYN,5,0.4381084840055633,0.3701961901558131,0.8691775208447633,0.38,0.16981132075471697,0.7241379310344828,0.31144611625008406,0.4100494208642065
