Fold,Strategy,Calibration,F2,F2_tuned,Threshold,AvgPrecision,ROC-AUC,Brier,ECE,SpearmanVsRaw,nUniqueProb
8,RUS,sigmoid,0.0,,,0.3802142918781998,0.8514747652736502,0.04204664098539938,0.008484898810284056,1.0,1390
8,RUS,isotonic,0.0,,,0.37961332534961467,0.8474475975067721,0.041916523417394186,0.006736678846243542,0.9923480656626411,57
9,None,raw,0.23676880222841226,0.4369918699186992,0.09999999999999999,0.3566522416775977,0.870349314635841,0.03439517931088683,0.00796222861694253,1.0,1462
9,None,sigmoid,0.25,,,0.3566522416775977,0.870349314635841,0.03546604378374465,0.010493119241595662,1.0,1462
9,None,isotonic,0.30997304582210244,,,0.35001683011462426,0.8675875041234147,0.034698286436150784,0.005988371195195688,0.9567225094442865,69
9,ClassWeight,raw,0.42483660130718953,0.42218543046357615,0.5099999999999999,0.3710567046565401,0.8819089128924262,0.09913303321123038,0.18573550043384668,1.0,1471
9,ClassWeight,sigmoid,0.21739130434782608,,,0.3710567046565401,0.8819089128924262,0.03472233636825068,0.014516043646575851,1.0,1471
9,ClassWeight,isotonic,0.2777777777777778,,,0.35212089762226617,0.8749289368959636,0.03404468522987096,0.010911002064771627,0.9692070186812975,60
9,B-SMOTE,raw,0.43040293040293043,0.41522491349480967,0.4799999999999999,0.33097342278573155,0.8567192358172082,0.0845326136571747,0.14002317213655813,1.0,1462
9,B-SMOTE,sigmoid,0.17543859649122806,,,0.33097342278573155,0.8567192358172082,0.03598877868451984,0.011513149097148522,1.0,1462
9,B-SMOTE,isotonic,0.2949061662198391,,,0.3048031523235636,0.8621200317239733,0.0357751785899843,0.010692593830374433,0.9905865487392547,57
9,SMOTE,raw,0.44166666666666665,0.44166666666666665,0.49999999999999994,0.3477101171311752,0.8496023975463051,0.09765227671815707,0.18226321597138181,1.0,1451
9,SMOTE,sigmoid,0.21613832853025935,,,0.3477101171311752,0.8496023975463051,0.035698635246457895,0.011973325162009585,1.0,1451
9,SMOTE,isotonic,0.30997304582210244,,,0.3319621881238794,0.8465072045704981,0.03553179592797585,0.011501985962082548,0.9857880893380779,62
9,ADASYN,raw,0.45,0.41411042944785276,0.4799999999999999,0.34157186135482515,0.8623762098274131,0.10421598626323444,0.19550402297071465,1.0,1420
9,ADASYN,sigmoid,0.0,,,0.34157186135482515,0.8623762098274131,0.03550285504521805,0.010848799937170198,1.0,1420
9,ADASYN,isotonic,0.25280898876404495,,,0.3009631285710472,0.8528309435074641,0.03559486610501987,0.00884683168538765,0.9751928798144949,54
9,RUS,raw,0.3652058432934927,0.4137323943661972,0.6599999999999999,0.32995558014280557,0.8560840544922409,0.14706382602877124,0.2731835935548272,1.0,1471
9,RUS,sigmoid,0.0,,,0.32995558014280557,0.8560840544922409,0.0363358941198349,0.014634360043351865,1.0,1471
9,RUS,isotonic,0.09063444108761329,,,0.3013163293261744,0.85901782016999,0.03524280700842402,0.007063394780498526,0.9915219538954111,54
10,None,raw,0.2558139534883721,0.46296296296296297,0.09,0.3722105920049494,0.8188749065837371,0.04260310165843468,0.01689183749993083,1.0,1453
10,None,sigmoid,0.2777777777777778,,,0.3722105920049494,0.8188749065837371,0.04397502659139516,0.017631127429046246,1.0,1453
10,None,isotonic,0.2127659574468085,,,0.3687649076005482,0.8178413008365275,0.04276797591767106,0.01250893079529805,0.984065521022086,63
10,ClassWeight,raw,0.39697542533081287,0.45230263157894735,0.31999999999999995,0.37261204992071467,0.801517562257419,0.06472762848363302,0.06617313034884947,1.0,1464
10,ClassWeight,sigmoid,0.3131991051454139,,,0.37261204992071467,0.801517562257419,0.0458950031524555,0.020438422977855534,1.0,1464
10,ClassWeight,isotonic,0.21428571428571427,,,0.3453401588842539,0.7997968949639596,0.045168204693644486,0.01619877783988248,0.9927887741410069,68
10,B-SMOTE,raw,0.34303534303534305,0.45718432510885343,0.05,0.32839427895878864,0.8122694727706661,0.05647972547886898,0.04958281001863135,1.0,1469
10,B-SMOTE,sigmoid,0.2696629213483146,,,0.32839427895878864,0.8122694727706661,0.04604266045283524,0.014647230942939122,0.9999999999999998,1469
10,B-SMOTE,isotonic,0.19002375296912113,,,0.29375227986482366,0.8066102552976061,0.044850650280200605,0.011125749467993416,0.9948525984484726,86
10,SMOTE,raw,0.4351032448377581,0.451559934318555,0.5599999999999999,0.3618580769597698,0.8150508666618452,0.10019340577775933,0.1771933174175276,1.0,1418
10,SMOTE,sigmoid,0.13381995133819952,,,0.3618580769597698,0.8150508666618452,0.043526669428650785,0.012580950429544243,0.9999999999999998,1418
10,SMOTE,isotonic,0.2014218009478673,,,0.3425185947144688,0.8140865697548275,0.04285682529010326,0.00712911235037404,0.9865113257612593,52
10,ADASYN,raw,0.33268101761252444,0.46405228758169936,0.06,0.3222926738159799,0.8154697331308309,0.05952513879272039,0.04971442044935596,1.0,1469
10,ADASYN,sigmoid,0.2336448598130841,,,0.3222926738159799,0.8154697331308309,0.04666058068996543,0.01695050421353937,0.9999999999999998,1469
